ID,Produto,Grupo do Material,Válido até,Bloqueado em,Quantidade,Valor Total,Situação do Material,Dias,Dias2,validade
1081,PARACETAMOL 500 MG+CODEINA 30 MG (A-2) - CP - (CX/96) GEOLAB,CONTROLADO,2026-04-30,2026-03-01,2022,1460.29,Disponível,505,Em +180,2026-04-30T00:00:00.000
3957,CLORIDRATO DE TRIEXIFENIDIL 5MG  ARTANE - CP - (CX/30)APSEN,CONTROLADO,2025-08-30,2025-07-01,420,235.2,Disponível,262,Em +180,2025-08-30T00:00:00.000
5518,QUETIAPINA (HEMIFUMARATO) 25 MG - CP - (CX/30) CIMED,CONTROLADO,2026-07-30,2026-05-31,2460,829.02,Disponível,596,Em +180,2026-07-30T00:00:00.000
5863, LEVOMEPROMAZINA (MALEATO) 100 MG - CP - (CX/500) HIPOLABOR,CONTROLADO,2026-08-30,2026-07-01,16000,7377.6,Disponível,627,Em +180,2026-08-30T00:00:00.000
1064,CARBAMAZEPINA 200MG UNI - CARBAMAZ - CP - (CX/200) UNIAO QUIMICA,CONTROLADO,2026-02-28,2025-12-30,166800,50090.04,Disponível,444,Em +180,2026-02-28T00:00:00.000
3958,NEXIUM ESOMEPRAZOL MAGNESIO TRI HIDRATADO 40MG -CP- (CX/28),CONTROLADO,2025-04-30,2025-03-01,112,1815.52,Disponível,140,Em 150,2025-04-30T00:00:00.000
3958,NEXIUM ESOMEPRAZOL MAGNESIO TRI HIDRATADO 40MG -CP- (CX/28),CONTROLADO,2025-04-30,2025-03-01,168,2723.28,Disponível,140,Em 150,2025-04-30T00:00:00.000
1096,RISPERIDONA 1 MG/ML GOTAS/ORAL FRASCO COM 30 ML - FR - (CX/100) PRATI,CONTROLADO,2026-09-30,2026-08-01,150,2999.76,Disponível,658,Em +180,2026-09-30T00:00:00.000
1873,DIAZEPAM 10MG *(B-1) SANTIAZEPAM - CP - (CX/1000) - SANTISA,CONTROLADO,2026-08-30,2026-07-01,25000,3515,Disponível,627,Em +180,2026-08-30T00:00:00.000
4502,AMITRIPTILINA (CLORIDRATO) 25MG  AMYTRIL - CP - (CX/200) CRISTALIA,CONTROLADO,2026-06-30,2026-05-01,42000,15044.4,Disponível,566,Em +180,2026-06-30T00:00:00.000
3958,NEXIUM ESOMEPRAZOL MAGNESIO TRI HIDRATADO 40MG -CP- (CX/28),CONTROLADO,2025-04-30,2025-03-01,140,2269.4,Disponível,140,Em 150,2025-04-30T00:00:00.000
4290,CLORPROMAZINA 100MG (C1) LONGACTIL - CP - (CX/200) CRISTALIA,CONTROLADO,2025-11-30,2025-10-01,35000,7427,Disponível,354,Em +180,2025-11-30T00:00:00.000
1119,HALOPERIDOL  2MG/ML SOL. GOTAS ORAL FRASCO COM 20ML  -FR - (CX/10) HALO,CONTROLADO,2025-11-30,2025-10-01,30,127.5,Disponível,354,Em +180,2025-11-30T00:00:00.000
1070,BIPERIDENO 2MG (C-1) - CP - (CX/200) - CINETOL,CONTROLADO,2027-08-30,2027-07-01,20000,12400,Disponível,992,Em +180,2027-08-30T00:00:00.000
2243,VALPROATO DE SODIO 500MG - CP -  (FR/50) (C1) - EPILENIL,CONTROLADO,2026-06-30,2026-05-01,3000,6150,Disponível,566,Em +180,2026-06-30T00:00:00.000
1086,ACIDO VALPROICO 250MG EPILENIL CPS C1 - CA - (FR/25) BIOLAB,CONTROLADO,2026-07-30,2026-05-31,30000,40500,Disponível,596,Em +180,2026-07-30T00:00:00.000
1086,ACIDO VALPROICO 250MG EPILENIL CPS C1 - CA - (FR/25) BIOLAB,CONTROLADO,2026-05-30,2026-03-31,25000,33750,Disponível,535,Em +180,2026-05-30T00:00:00.000
4172,LORAZEPAM 2 MG - CP - (CX/30) LEGRAND,CONTROLADO,2025-08-30,2025-07-01,9090,1511.67,Disponível,262,Em +180,2025-08-30T00:00:00.000
2679,PREGABALINA  75MG - CA -  (CX/30) CIMED,CONTROLADO,2025-11-30,2025-10-01,14090,7715.68,Disponível,354,Em +180,2025-11-30T00:00:00.000
1090,CLOBAZAM 10MG - CP - (CX/20) - FRISUM ,CONTROLADO,2025-07-30,2025-05-31,220,231,Disponível,231,Em +180,2025-07-30T00:00:00.000
4245,BROMAZEPAM 6 MG - CP - (CX/30) UNIAO QUIMICA,CONTROLADO,2025-12-30,2025-10-31,6330,2430.09,Disponível,384,Em +180,2025-12-30T00:00:00.000
4548,ROCURONIO (BROMETO) 50 MG (10 MG/ML) TERMOLABIL  ROCURON - FR - (CX/25) CRISTALIA,CONTROLADO,2025-08-30,2025-07-01,75,1812.95,Disponível,262,Em +180,2025-08-30T00:00:00.000
4547,OCITOCINA 5 UI/ML INJETAVEL IM/EV TERMOLABIL OXITON - AMP - (CX/50) UNIAO QUIMICA,CONTROLADO,2025-11-30,2025-10-01,250,571.72,Disponível,354,Em +180,2025-11-30T00:00:00.000
1064,CARBAMAZEPINA 200MG UNI - CARBAMAZ - CP - (CX/200) UNIAO QUIMICA,CONTROLADO,2026-03-30,2026-01-29,23200,6966.96,Disponível,474,Em +180,2026-03-30T00:00:00.000
3959,NEXIUM ESOMEPRAZOL MAGNESIO TRI HIDRATADO 40MG -CP- (CX/14),CONTROLADO,2025-01-30,2024-12-01,308,9985.36,Bloqueado,50,Em 60,2025-01-30T00:00:00.000
1080,LORAZEPAM 2MG *(B-1) - CP - (CX/20) EMS,CONTROLADO,2025-08-30,2025-07-01,1800,162,Disponível,262,Em +180,2025-08-30T00:00:00.000
1078,FENOBARBITAL 100MG FENOCRIS - CP - (CX/200) | CRISTALIA,CONTROLADO,2025-12-30,2025-10-31,47800,6395.64,Disponível,384,Em +180,2025-12-30T00:00:00.000
2327,RISPERIDONA 2MG - CP - (CX300) PRATI,CONTROLADO,2026-10-30,2026-08-31,20100,1792.92,Disponível,688,Em +180,2026-10-30T00:00:00.000
4251, FENITOINA 100 MG FENITAL ORAL - CP - (CX/200) CRISTALIA,CONTROLADO,2026-05-30,2026-03-31,8000,1420.8,Disponível,535,Em +180,2026-05-30T00:00:00.000
2284,RISPERIDONA 1MG *(C1) (G) - CP - (CX/300) PRATI,CONTROLADO,2026-05-30,2026-03-31,9300,2312.91,Disponível,535,Em +180,2026-05-30T00:00:00.000
3559,SERTRALINA (CLORIDRATO) 50 MG - CP - (CX/600) PRATI,CONTROLADO,2026-05-30,2026-03-31,77100,22906.41,Disponível,535,Em +180,2026-05-30T00:00:00.000
1843,DIAZEPAM 5MG *(B-1) - CP - (CX/1000) - SANTIAZEPAM,CONTROLADO,2025-06-30,2025-05-01,15860,1846.1,Disponível,201,Em +180,2025-06-30T00:00:00.000
4246,PREGABALINA 150 MG - CA - (CX30) CIMED,CONTROLADO,2025-07-30,2025-05-31,4000,6497.2,Disponível,231,Em +180,2025-07-30T00:00:00.000
4248,BUPROPIONA (CLORIDRATO) 150 MG - CP - (CX/30) GEOLAB,CONTROLADO,2025-10-30,2025-08-31,1020,1165.96,Disponível,323,Em +180,2025-10-30T00:00:00.000
4702,TRAMADON CLORIDRATO TRAMADOL 50 MG/ML INJ. 2 ML - AMP - (CX/100) CRISTALIA,CONTROLADO,2026-09-30,2026-08-01,100,424.97,Disponível,658,Em +180,2026-09-30T00:00:00.000
1118,FENOBARBITAL 4% (40 MG/ML) SOL. ORAL FRASCO COM 20 ML - FR - (CX/10) FENOCRIS,CONTROLADO,2025-07-30,2025-05-31,300,1112.4,Disponível,231,Em +180,2025-07-30T00:00:00.000
4250,TRAZODONA (CLORIDRATO) 50 MG - CP - (CX/60) EUROFARMA,CONTROLADO,2025-08-30,2025-07-01,780,420.65,Disponível,262,Em +180,2025-08-30T00:00:00.000
4253,FENITOINA SODICA 50 MG/ML SOL INJETAVEL IM/IV 05 ML FENITAL - AMP - (CX/10) CRISTALIA,CONTROLADO,2025-10-30,2025-08-31,150,293.76,Disponível,323,Em +180,2025-10-30T00:00:00.000
4289,FENOBARBITAL 4% (40 MG/ML) SOL. ORAL FRASCO COM 20 ML - FR - (CX/90) UNIAO,CONTROLADO,2025-11-30,2025-10-01,100,370.8,Disponível,354,Em +180,2025-11-30T00:00:00.000
4288,TRAMADOL (CLORIDRATO) 50 MG TRAMADON - CA - (CX/100) CRISTALIA,CONTROLADO,2026-07-30,2026-05-31,5000,2962.5,Disponível,596,Em +180,2026-07-30T00:00:00.000
4696,NITROPRUSSETO DE SODIO 25 MG/ML INJ. 2 ML NITROP - AMP - (CX/5) HYPOFARMA,CONTROLADO,2026-03-30,2026-01-29,150,1923.39,Disponível,474,Em +180,2026-03-30T00:00:00.000
4694,MIDAZOLAM 5 MG/ML INJETAVEL 3 ML DORMIUM - AMP - (CX/50) UNIAO QUIMICA,CONTROLADO,2026-01-30,2025-12-01,100,637.17,Disponível,415,Em +180,2026-01-30T00:00:00.000
2010,CLORPROMAZINA 25MG/5ML (C-1) - AMP - (CX/50) (UNIÃO QUIMICA) - CLORPROMAZ,CONTROLADO,2025-09-30,2025-08-01,150,195.52,Disponível,293,Em +180,2025-09-30T00:00:00.000
4287,TOPIRAMATO TEMPORA 50 MG  - CP - (CX/60) CRISTALIA,CONTROLADO,2025-11-30,2025-10-01,1560,1291.68,Disponível,354,Em +180,2025-11-30T00:00:00.000
1784,LEVOMEPROMAZINA - COMPRIMIDO DE 100MG (C1) LEVOZINE - CP - (CX/200) CRISTALIA,CONTROLADO,2025-08-30,2025-07-01,10000,4611,Disponível,262,Em +180,2025-08-30T00:00:00.000
1072,"CLONAZEPAM 0,5 MG (B1) - CP - (CX/480) ZILEPAM",CONTROLADO,2025-09-30,2025-08-01,18840,3118.02,Disponível,293,Em +180,2025-09-30T00:00:00.000
1072,"CLONAZEPAM 0,5 MG (B1) - CP - (CX/480) ZILEPAM",CONTROLADO,2025-09-30,2025-08-01,2400,397.2,Disponível,293,Em +180,2025-09-30T00:00:00.000
1702,BUPROPIONA 150MG - CP - (CX/30),CONTROLADO,2025-02-28,2024-12-30,210,291.9,Disponível,79,Em 90,2025-02-28T00:00:00.000
1704,NITRAZEPAM 5MG - CP - (CX/20),CONTROLADO,2025-12-30,2025-10-31,580,533.6,Disponível,384,Em +180,2025-12-30T00:00:00.000
2010,CLORPROMAZINA 25MG/5ML (C-1) - AMP - (CX/50) (UNIÃO QUIMICA) - CLORPROMAZ,CONTROLADO,2025-02-28,2024-12-30,100,130.35,Disponível,79,Em 90,2025-02-28T00:00:00.000
1141,CLOMIPRAMINA 25MG *(C-1) CP - CP - (CX/20) - CLO,CONTROLADO,2025-01-30,2024-12-01,320,275.2,Bloqueado,50,Em 60,2025-01-30T00:00:00.000
1141,CLOMIPRAMINA 25MG *(C-1) CP - CP - (CX/20) - CLO,CONTROLADO,2025-01-30,2024-12-01,180,154.8,Bloqueado,50,Em 60,2025-01-30T00:00:00.000
1527,LACTATO DE BIPERIDENO 5MG/ML SOL. INJT.  AMPOLA C/ 1ML - AMP - (CX/25) CINETOL,CONTROLADO,2024-12-30,2024-10-31,700,1596,Bloqueado,19,Em 30,2024-12-30T00:00:00.000
4681,"FLUMAZENIL 0,1 MG/ML SOL INJ. 5 ML FLUNAZIL - AMP - (CX/10) CRISTALIA",CONTROLADO,2025-08-30,2025-07-01,30,637.14,Disponível,262,Em +180,2025-08-30T00:00:00.000
3496,"CLONAZEPAM 2,5 MG/ML ORAL FRASCO 20 ML - FR - (CX/50) GEOLAB",CONTROLADO,2025-07-30,2025-05-31,650,2990.78,Disponível,231,Em +180,2025-07-30T00:00:00.000
4679,"CITRATO DE FENTANILA 0,05 MG/ML INJ. 2 ML FENTANEST - AMP - (CX/50) CRISTALIA",CONTROLADO,2025-08-30,2025-07-01,100,271.68,Disponível,262,Em +180,2025-08-30T00:00:00.000
1884,CLORPROMAZINA - CLORIDRATO 40MG/ML LONGACTIL - GTS - FR (CX/10) - CRISTALIA,CONTROLADO,2025-01-30,2024-12-01,170,558.28,Bloqueado,50,Em 60,2025-01-30T00:00:00.000
4708,FENOBARBITAL SODICO 200 MG (100 MG/ML) FENOCRIS SOL. INJ. 2 ML - AMP - (CX/25) CRISTALIA,CONTROLADO,2025-09-30,2025-08-01,25,25.46,Disponível,293,Em +180,2025-09-30T00:00:00.000
4289,FENOBARBITAL 4% (40 MG/ML) SOL. ORAL FRASCO COM 20 ML - FR - (CX/90) UNIAO,CONTROLADO,2025-11-30,2025-10-01,300,1112.4,Disponível,354,Em +180,2025-11-30T00:00:00.000
1094,LEVODOPA BENSERAZIDA 200MG/50MG - CP -  (CX/30) - PROLOPA  - ROCHE,CONTROLADO,2026-01-30,2025-12-01,4200,4680.06,Disponível,415,Em +180,2026-01-30T00:00:00.000
2284,RISPERIDONA 1MG *(C1) (G) - CP - (CX/300) PRATI,CONTROLADO,2026-05-30,2026-03-31,3900,969.93,Disponível,535,Em +180,2026-05-30T00:00:00.000
1071,CARBAMAZEPINA 20 MG/ML ORAL FRASCO COM 100ML - FR - (CX/35) UNIAO QUIMICA,CONTROLADO,2025-11-30,2025-10-01,500,3992,Disponível,354,Em +180,2025-11-30T00:00:00.000
2284,RISPERIDONA 1MG *(C1) (G) - CP - (CX/300) PRATI,CONTROLADO,2025-09-30,2025-08-01,29490,7334.16,Disponível,293,Em +180,2025-09-30T00:00:00.000
3955,CLOBAZAM 20MG - CP - (CX/20) - FRISUM ,CONTROLADO,2025-10-30,2025-08-31,20,39.6,Disponível,323,Em +180,2025-10-30T00:00:00.000
4548,ROCURONIO (BROMETO) 50 MG (10 MG/ML) TERMOLABIL  ROCURON - FR - (CX/25) CRISTALIA,CONTROLADO,2026-09-30,2026-08-01,300,7251.81,Disponível,658,Em +180,2026-09-30T00:00:00.000
5170,FLUOXETINA CLORIDRATO 20MG - CP - (CX/300) PRATI,CONTROLADO,2026-09-30,2026-08-01,4500,1091.25,Disponível,658,Em +180,2026-09-30T00:00:00.000
4708,FENOBARBITAL SODICO 200 MG (100 MG/ML) FENOCRIS SOL. INJ. 2 ML - AMP - (CX/25) CRISTALIA,CONTROLADO,2025-11-30,2025-10-01,100,101.86,Disponível,354,Em +180,2025-11-30T00:00:00.000
1883,CARBONATO DE LITIO 300MG - CP - (CX/500) HIPOLABOR,CONTROLADO,2026-09-30,2026-08-01,42000,8706.6,Disponível,658,Em +180,2026-09-30T00:00:00.000
5174,SERTRALINA (CLORIDRATO) 50 MG - CP - (CX/600),CONTROLADO,2026-07-30,2026-05-31,40800,12121.68,Disponível,596,Em +180,2026-07-30T00:00:00.000
1097,RISPERIDONA 3MG G C1 - CP - (CX/300) PRATI,CONTROLADO,2026-06-30,2026-05-01,21300,8181.33,Disponível,566,Em +180,2026-06-30T00:00:00.000
4695,SULFATO DE MORFINA  10 MG/ML SOL. INJ. 1 ML DIMORF - AMP - (CX/50) CRISTALIA,CONTROLADO,2026-04-30,2026-03-01,50,114.6,Disponível,505,Em +180,2026-04-30T00:00:00.000
3296,CLONAZEPAM 2 MG ZILEPAM - CP - (CX/480) GEOLAB,CONTROLADO,2026-09-30,2026-08-01,134400,23506.56,Disponível,658,Em +180,2026-09-30T00:00:00.000
1140,FLUFENAZINA 25MG/1ML  SOL. INJETAVEL - AMP - (CX-50) FLUFENAN DEPOT,CONTROLADO,2024-08-30,2024-07-01,900,5382,Vencido,-103,Vencido,2024-08-30T00:00:00.000
1074,CLORPROMAZINA 25MG/5ML  USO IM SOL. INJ. (C-1) - AMP - (CX/10) - LONGACTIL,CONTROLADO,2026-02-28,2025-12-30,200,6100,Disponível,444,Em +180,2026-02-28T00:00:00.000
2070,BROMAZEPAM 3MG - CP - (CX/30) (UNIÃO),CONTROLADO,2026-03-30,2026-01-29,18010,5116.64,Disponível,474,Em +180,2026-03-30T00:00:00.000
1089,PERICIAZINA 40MG/ML SOLUCAO ORAL 20ML FRASCO C1 - FR - NEULEPTIL,CONTROLADO,2026-01-30,2025-12-01,524,20960,Disponível,415,Em +180,2026-01-30T00:00:00.000
3296,CLONAZEPAM 2 MG ZILEPAM - CP - (CX/480) GEOLAB,CONTROLADO,2026-07-30,2026-05-31,103680,18133.63,Disponível,596,Em +180,2026-07-30T00:00:00.000
3296,CLONAZEPAM 2 MG ZILEPAM - CP - (CX/480) GEOLAB,CONTROLADO,2026-07-30,2026-05-31,32960,5764.7,Disponível,596,Em +180,2026-07-30T00:00:00.000
2078,FLUOXETINA CLORIDRATO 20MG - CA - (CX/500) HIPOLABOR,CONTROLADO,2026-06-30,2026-05-01,103500,25098.75,Disponível,566,Em +180,2026-06-30T00:00:00.000
4245,BROMAZEPAM 6 MG - CP - (CX/30) UNIAO QUIMICA,CONTROLADO,2025-12-30,2025-10-31,5610,2153.68,Disponível,384,Em +180,2025-12-30T00:00:00.000
1073,CLORPROMAZINA 25MG LONGACTIL *(C-1) - CP - (CX/200) - CRISTALIA,CONTROLADO,2025-10-30,2025-08-31,60000,7224,Disponível,323,Em +180,2025-10-30T00:00:00.000
1072,"CLONAZEPAM 0,5 MG (B1) - CP - (CX/480) ZILEPAM",CONTROLADO,2025-11-30,2025-10-01,1920,317.76,Disponível,354,Em +180,2025-11-30T00:00:00.000
1765,VALPROATO DE SODIO 50MG/ML XAROPE 100ML - FR - (CX/50) - HIPOLABOR,CONTROLADO,2026-08-30,2026-07-01,300,2403.6,Disponível,627,Em +180,2026-08-30T00:00:00.000
1884,CLORPROMAZINA - CLORIDRATO 40MG/ML LONGACTIL - GTS - FR (CX/10) - CRISTALIA,CONTROLADO,2025-12-30,2025-10-31,500,1642,Disponível,384,Em +180,2025-12-30T00:00:00.000
